[array([[-0.02398207,  0.06651619,  0.08016843,  0.08266798, -0.05486006,
        -0.04325633, -0.03689791, -0.07270683,  0.09988615, -0.08982536,
         0.02591877,  0.0789129 ,  0.06076055,  0.07208086,  0.08420341,
        -0.05972234,  0.01586945, -0.06282414,  0.05958638,  0.11722271,
         0.06010472, -0.05814269, -0.0781008 ,  0.08121457,  0.06981008,
        -0.05959656, -0.05825246, -0.06459648,  0.08484659, -0.05533064,
         0.0877094 , -0.11090671,  0.06706323,  0.08246456,  0.06019969,
         0.07353574,  0.07818396,  0.07811283,  0.03495213, -0.03995001,
        -0.10208049, -0.05993656, -0.07052241, -0.11737313,  0.07589644,
         0.07043236,  0.05657165,  0.07187208,  0.0641656 ,  0.08998019],
       [ 0.02812127,  0.01960322, -0.00995011, -0.01574032, -0.07428226,
         0.02810288, -0.04177216,  0.04416894,  0.03938244,  0.05311056,
        -0.08280816,  0.02932393, -0.07340154, -0.03849391, -0.02158629,
         0.05106854, -0.00969257,  0.10551027, -0.07588217, -0.04389202,
        -0.0246997 ,  0.04849352, -0.01141669, -0.0152783 , -0.04049329,
         0.07495374,  0.11339486, -0.05634047, -0.01600185,  0.0372638 ,
         0.05356707, -0.01536887,  0.00203834,  0.03290818, -0.01115814,
        -0.00391068, -0.03032446, -0.00773741,  0.05206244,  0.00181189,
         0.05839177, -0.08128022,  0.03767661, -0.04696799, -0.06785612,
        -0.01627831,  0.07338633, -0.04588269,  0.1013248 ,  0.00063847],
       [ 0.09894327, -0.0228404 ,  0.01726964,  0.03119365,  0.02721193,
        -0.04641921, -0.00679883, -0.02135731,  0.00864759,  0.0090155 ,
        -0.01758948, -0.10556676, -0.06778768,  0.02918942, -0.04993958,
         0.05297781, -0.0053238 , -0.02039926, -0.05154391,  0.00331391,
         0.03419714,  0.04717809,  0.00965014, -0.01661794, -0.03025073,
         0.04961361, -0.01185882, -0.04257758,  0.02625283, -0.01364256,
         0.04858684,  0.02177753,  0.031031  , -0.13564426, -0.13105866,
        -0.02008592,  0.01522969,  0.05734134,  0.04124273,  0.10540164,
         0.0469719 , -0.00364001, -0.03144673, -0.03036806,  0.032385  ,
        -0.03711663, -0.00107382,  0.11439893, -0.07001702, -0.012919  ],
       [-0.02726352,  0.03664903, -0.00316989,  0.06514098, -0.06160164,
        -0.00611293,  0.01700996, -0.02620276, -0.00289893,  0.0173041 ,
         0.00307344,  0.0730101 ,  0.06861062,  0.03526764, -0.01996318,
         0.03912052, -0.03249096,  0.07049205, -0.12243523, -0.04797048,
         0.0089687 , -0.04367813, -0.03757375, -0.05519097,  0.02907856,
        -0.00966683,  0.06514758,  0.03687168, -0.09024409,  0.01092129,
        -0.02833149, -0.01758542,  0.00555057,  0.00463255,  0.06686243,
         0.06059704,  0.06103985, -0.00563828,  0.07604688, -0.04103965,
        -0.055799  ,  0.00371022, -0.05115914,  0.01934657,  0.02524838,
         0.06516471,  0.01991075,  0.01457889, -0.0499997 , -0.07188773],
       [-0.02563215,  0.03350002, -0.07882276, -0.00189914,  0.02880937,
        -0.02898162,  0.00336632,  0.05251458, -0.12449712, -0.00354817,
        -0.02251004, -0.04979637,  0.05443057, -0.05979817, -0.00617566,
        -0.05903235, -0.05818029, -0.03447753,  0.0327433 , -0.05899187,
         0.06854382,  0.03674605, -0.01528428, -0.01471407,  0.0214533 ,
        -0.02584785, -0.07512191, -0.01996795, -0.02716196,  0.08648472,
         0.09214925,  0.1007975 ,  0.02888453,  0.10302575, -0.03036366,
        -0.01911351, -0.0040472 , -0.01071568, -0.0034362 , -0.01600896,
         0.04449349,  0.02284966,  0.09231791, -0.01411402, -0.01418085,
         0.08705143, -0.01549667,  0.11880857, -0.00415715,  0.01304568],
       [-0.05331901, -0.07020327, -0.02064835, -0.01864283,  0.00370548,
         0.11847597,  0.03336877,  0.00688864,  0.03453144, -0.00196484,
         0.03986851,  0.08235903,  0.03107429, -0.02060039,  0.02047709,
         0.13504426, -0.03650606, -0.07735559, -0.00307761, -0.01799078,
        -0.05817733,  0.03271183,  0.04051187, -0.00724101, -0.02525796,
        -0.04838754, -0.08364056,  0.01353097, -0.00605721,  0.02146558,
        -0.01854025,  0.11215979, -0.1047852 , -0.10825404,  0.03043182,
         0.00749183,  0.00840598, -0.06977289, -0.0703311 ,  0.10228746,
         0.00933048,  0.02559966, -0.0621976 , -0.00845528,  0.05707231,
        -0.01679121, -0.04149423,  0.05463839, -0.09250673,  0.00486524],
       [ 0.056298  , -0.00661358, -0.00860061,  0.00676233, -0.0347739 ,
        -0.04693994,  0.0767004 ,  0.00827299, -0.06324067,  0.00735722,
         0.0456507 ,  0.00045994,  0.05194661, -0.02109414,  0.0328084 ,
         0.0454712 , -0.02738287,  0.06617413,  0.00501524,  0.05705403,
         0.04104202, -0.06744501,  0.02112709, -0.07439912,  0.00893801,
         0.06804366, -0.01601139,  0.03028002, -0.03043267,  0.01080386,
         0.02287064,  0.02004525,  0.05438093, -0.07290322,  0.01652226,
         0.05895628, -0.11454555, -0.03587317,  0.04773418, -0.00850699,
         0.00546991,  0.10262394,  0.01328154, -0.00205687,  0.03625737,
         0.00746769, -0.01882579, -0.02472064,  0.06844776,  0.02299208],
       [-0.04039534, -0.01531673,  0.03986515,  0.03314834, -0.05398033,
         0.029262  , -0.0325432 ,  0.05334629, -0.00753949, -0.02134327,
         0.00624063,  0.06073286,  0.10869623,  0.03313752,  0.00778781,
        -0.05316194,  0.0460241 ,  0.03715061, -0.05191905, -0.01529927,
         0.02338435, -0.05967106,  0.01807374,  0.06938816,  0.03477859,
        -0.08701452, -0.02817748,  0.07049143, -0.10390399, -0.03046556,
         0.00524291,  0.02586638, -0.03535264, -0.11403845,  0.11836764,
        -0.11373966, -0.00738197,  0.09907971, -0.02704693, -0.02310985,
         0.02236391, -0.01821115, -0.04885032, -0.04640792,  0.04154068,
        -0.03091463,  0.03611188,  0.02255777, -0.01414429, -0.05777997]], dtype=float32), array([  4.31994442e-04,   1.29637914e-03,   5.32695616e-04,
         4.72403161e-04,  -6.95070776e-04,  -1.53415429e-03,
        -4.70881088e-04,   3.63500585e-05,   1.22092300e-04,
        -2.80133754e-05,   8.93700751e-04,   9.34062409e-04,
         6.60174643e-04,   4.33845242e-04,   4.26013576e-04,
        -1.09629538e-04,   4.79026639e-04,  -6.52690826e-04,
         1.24569261e-03,   2.37386084e-05,   5.04439406e-04,
        -1.04565243e-03,  -5.27911252e-05,   1.61389890e-03,
         6.36740413e-04,  -6.80929923e-04,  -1.57195929e-04,
        -4.41427866e-04,   7.05539482e-04,  -9.67208820e-04,
         7.44050834e-04,  -2.02064221e-05,   8.92209006e-04,
         4.17869043e-04,   1.02971762e-03,   1.37427624e-03,
         3.33925505e-04,   1.68323598e-03,   5.18466055e-04,
        -1.61142147e-04,   1.09259263e-05,  -3.83422419e-04,
         1.02862461e-04,   2.97301085e-06,   3.24302731e-04,
         7.02856283e-04,   8.01510003e-04,   3.94183968e-04,
         8.76141596e-04,   1.34956659e-04], dtype=float32)][array([[ -4.65939939e-02,   2.91343592e-03,  -6.00128882e-02,
          9.09471288e-02,  -5.25153428e-03,   6.32830039e-02,
         -1.85172521e-02,  -4.36369181e-02,   5.62580563e-02,
         -2.76683662e-02,   3.03783827e-02,  -9.26843612e-04,
          4.68287058e-02,   1.04562743e-02,  -3.06674372e-03,
          1.43849459e-02,  -8.45901947e-03,  -5.95280752e-02,
          2.01654788e-02,   3.68053317e-02],
       [  4.17253710e-02,   2.77287629e-03,   4.42692339e-02,
          6.18106946e-02,   4.82170805e-02,  -2.62047630e-03,
          6.51248619e-02,   1.35176241e-01,   2.46230531e-02,
          5.29979281e-02,   5.74908070e-02,   5.47436289e-02,
          6.22239858e-02,   3.22609954e-02,   3.98845300e-02,
         -4.60512750e-02,  -6.58340454e-02,   1.08271867e-01,
          3.62601094e-02,   5.08252764e-03],
       [  1.17644846e-01,   7.47746676e-02,   4.80136052e-02,
          1.26616746e-01,   1.04989938e-01,   1.76821537e-02,
         -6.47532865e-02,  -1.13358321e-02,  -9.11455974e-03,
          1.04702257e-01,   1.72854736e-01,  -9.39697251e-02,
          8.48661810e-02,  -1.90623617e-03,   1.15656264e-01,
          1.65987015e-01,  -6.32716939e-02,   5.41425757e-02,
          4.44190986e-02,  -1.15812449e-02],
       [  5.14949113e-02,   8.01435560e-02,   4.68743332e-02,
          7.93946013e-02,   5.43822683e-02,   8.93902406e-02,
          1.01144716e-01,   3.62680256e-02,   3.18951719e-02,
          6.35704249e-02,   1.28288552e-01,   2.13098712e-02,
          3.12899938e-03,   2.58484446e-02,   7.61778876e-02,
          4.95344624e-02,  -2.04076748e-02,   8.72666389e-02,
          9.08614546e-02,   5.19100390e-02],
       [ -6.84180763e-03,  -1.68950837e-02,  -1.06466571e-02,
         -4.07110602e-02,  -9.75315049e-02,   2.27260813e-02,
         -3.31763714e-03,   1.11059867e-01,   6.40113428e-02,
         -2.12695915e-02,  -3.06772012e-02,  -3.21585797e-02,
         -3.24169211e-02,  -1.17642097e-02,   5.52979112e-02,
         -1.29502136e-02,  -2.89768931e-02,  -6.66512176e-02,
          2.38887109e-02,   3.62995341e-02],
       [  2.32352279e-02,  -3.39639001e-02,  -6.01289831e-02,
          6.33677915e-02,   9.06867832e-02,  -1.95829794e-02,
         -6.69815168e-02,   2.86559239e-02,  -5.60833551e-02,
         -2.75550643e-03,   6.99055865e-02,  -7.70806223e-02,
          1.19287977e-02,  -3.40699102e-03,   2.89133396e-02,
         -2.99370699e-02,  -4.57390063e-02,  -3.87302823e-02,
         -4.89074625e-02,  -2.59925816e-02],
       [ -3.24061662e-02,  -3.01795924e-04,  -1.05890399e-03,
         -7.30568096e-02,   5.65927650e-04,   1.68385040e-02,
         -2.82497965e-02,  -5.17159030e-02,   3.30669694e-02,
          1.52583569e-02,   1.31110977e-02,   4.03944589e-02,
          3.29371840e-02,  -6.76633557e-03,  -2.80137062e-02,
          8.20837915e-03,  -9.41343382e-02,   8.51451755e-02,
          6.70377761e-02,  -4.35740501e-03],
       [  1.10718841e-02,  -4.30575795e-02,   4.47375141e-02,
         -2.22630464e-02,  -4.95868996e-02,  -6.38941154e-02,
          5.01301959e-02,   3.98879871e-02,   2.69061849e-02,
          4.29914519e-02,   3.71969119e-02,   2.58362852e-02,
          1.27342800e-02,  -3.54989944e-03,  -3.06599885e-02,
          4.20042360e-03,   3.06077860e-02,  -8.52050036e-02,
          9.71538648e-02,   4.61372640e-03],
       [ -5.49721830e-02,   7.39260837e-02,   2.34508328e-02,
         -9.83819272e-03,   4.96856868e-02,   1.12533532e-01,
          7.31422380e-02,   1.22097649e-01,   7.75664812e-03,
          1.04266480e-01,   9.79399681e-02,  -1.23117343e-02,
          2.63972580e-02,   1.14980809e-01,   1.51300177e-01,
         -3.02183963e-02,   3.63464132e-02,   2.70258058e-02,
          4.19882648e-02,   1.11703157e-01],
       [  1.44052105e-02,   5.43451309e-02,  -1.23539217e-01,
         -7.31746107e-02,  -7.58288801e-02,   1.58618260e-02,
         -1.84089959e-01,  -2.99385861e-02,   1.42745927e-01,
          3.39463055e-02,   3.58710289e-02,  -3.40142171e-03,
          1.18829263e-02,  -2.10534576e-02,   1.15905842e-02,
          1.17277019e-02,   4.16488126e-02,  -9.92915034e-02,
          4.24488559e-02,  -2.72552539e-02],
       [  2.55445614e-02,   5.54572931e-03,   3.60702077e-04,
          9.53686982e-03,  -5.64126037e-02,   1.73248593e-02,
         -2.42175125e-02,   2.75487229e-02,   3.59479636e-02,
          2.83740181e-03,   2.24784743e-02,   7.31347650e-02,
          5.11915423e-02,  -2.37627234e-02,   7.54644647e-02,
         -4.26621214e-02,   2.69289967e-02,   1.16014276e-02,
          5.35637997e-02,   4.42174934e-02],
       [  3.24738733e-02,   1.04965463e-01,   7.65160769e-02,
          9.35115367e-02,   1.27729371e-01,   2.91484427e-02,
          5.53533621e-02,   4.89396676e-02,   9.07441527e-02,
          6.85121492e-03,   7.26606101e-02,   3.95022631e-02,
          8.61026794e-02,  -2.50700414e-02,  -2.42494643e-02,
          9.25889164e-02,   4.35862243e-02,   3.28093464e-03,
